Quicksort recur, array[50], k = 1
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
k = 12, is 27,
k = n/4,27,
total time: ,,
10478700,,
quicksort recur, array[50], k = n/2
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
k = 25, is 61,
k = n/2,61,
total time: ,,
5890200,,
quicksort recur, array[50], k = 3n/4
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
k = 3n/4,75,
k = 37, is 75,
